node1,node2,startLoc,endLoc,length,endNodeL,startNodeL,startYear,endYear
100,101,Africa,Africa,5.28112593639917,5.28112593639917,0,1992.29690076793,1997.57802670433
101,102,Africa,Africa,0.712268043594726,5.9933939799939,5.28112593639917,1997.57802670433,1998.29029474792
102,95,Africa,Africa,0.600413954213504,6.5938079342074,5.9933939799939,1998.29029474792,1998.89070870213
100,105,Africa,Africa,6.78598502894339,6.78598502894339,0,1992.29690076793,1999.08288579687
105,106,Africa,Africa,3.59836915118327,10.3843541801267,6.78598502894339,1999.08288579687,2002.68125494805
106,107,Africa,Africa,1.89779204444286,12.2821462245695,10.3843541801267,2002.68125494805,2004.5790469925
107,108,Africa,Africa,0.761122342326711,13.0432685668962,12.2821462245695,2004.5790469925,2005.34016933482
107,93,Africa,Africa,1.22515022374245,13.507296448312,12.2821462245695,2004.5790469925,2005.80419721624
108,109,Africa,Ulyanovsk,1.19462550492874,14.237894071825,13.0432685668962,2005.34016933482,2006.53479483975
109,110,Ulyanovsk,Ulyanovsk,0.205616909980776,14.4435109818057,14.237894071825,2006.53479483975,2006.74041174973
110,194,Ulyanovsk,Ulyanovsk,0.297002777252931,14.7405137590587,14.4435109818057,2006.74041174973,2007.03741452699
101,96,Africa,Africa,10.0785915277278,15.359717464127,5.28112593639917,1997.57802670433,2007.65661823205
109,91,Ulyanovsk,Georgia,1.15956012022418,15.3974541920492,14.237894071825,2006.53479483975,2007.69435495998
194,195,Ulyanovsk,Ulyanovsk,1.78431832370776,16.5248320827664,14.7405137590587,2007.03741452699,2008.82173285069
105,94,Africa,Africa,12.2985965665567,19.0845815955001,6.78598502894339,1999.08288579687,2011.38148236343
110,111,Ulyanovsk,Poland,5.55301962210718,19.9965306039129,14.4435109818057,2006.74041174973,2012.29343137184
195,196,Ulyanovsk,Poland,4.24017837757354,20.76501046034,16.5248320827664,2008.82173285069,2013.06191122827
102,103,Africa,Africa,15.0630982391895,21.0564922191834,5.9933939799939,1998.29029474792,2013.35339298711
196,197,Poland,Poland,0.468775595519457,21.2337860558594,20.76501046034,2013.06191122827,2013.53068682379
197,87,Poland,Lithuania,0.524107696761865,21.7578937526213,21.2337860558594,2013.53068682379,2014.05479452055
111,161,Poland,Ukraine,2.68679912265777,22.6833297265707,19.9965306039129,2012.29343137184,2014.9802304945
196,89,Poland,Poland,2.02302027858248,22.7880307389225,20.76501046034,2013.06191122827,2015.08493150685
161,162,Ukraine,Ukraine,0.107976648861563,22.7913063754323,22.6833297265707,2014.9802304945,2015.08820714336
111,112,Poland,Poland,3.05767801913665,23.0542086230496,19.9965306039129,2012.29343137184,2015.35110939098
106,1,Africa,Africa,12.6732115705503,23.0575657506769,10.3843541801267,2002.68125494805,2015.3544665186
112,140,Poland,Poland,0.0742857797377052,23.1284944027873,23.0542086230496,2015.35110939098,2015.42539517071
162,163,Ukraine,Ukraine,0.483845632336315,23.2751520077686,22.7913063754323,2015.08820714336,2015.5720527757
161,170,Ukraine,Ukraine,0.601334969107124,23.2846646956778,22.6833297265707,2014.9802304945,2015.5815654636
170,171,Ukraine,Ukraine,0.0455221052366506,23.3301868009145,23.2846646956778,2015.5815654636,2015.62708756884
140,154,Poland,Poland,0.218559268101496,23.3470536708888,23.1284944027873,2015.42539517071,2015.64395443882
154,157,Poland,Poland,0.104255703407079,23.4513093742959,23.3470536708888,2015.64395443882,2015.74821014222
140,141,Poland,Kaliningrad,0.410790128188617,23.5392845309759,23.1284944027873,2015.42539517071,2015.8361852989
163,165,Ukraine,Ukraine,0.269817181231975,23.5449691890005,23.2751520077686,2015.5720527757,2015.84186995693
154,155,Poland,Poland,0.231648894406772,23.5787025652956,23.3470536708888,2015.64395443882,2015.87560333322
157,158,Poland,Poland,0.232286720491165,23.683596094787,23.4513093742959,2015.74821014222,2015.98049686271
155,156,Poland,Poland,0.130274667915716,23.7089772332113,23.5787025652956,2015.87560333322,2016.00587800114
141,142,Kaliningrad,Kaliningrad,0.185748182609113,23.725032713585,23.5392845309759,2015.8361852989,2016.02193348151
170,186,Ukraine,Serbia,0.479624476878987,23.7642891725568,23.2846646956778,2015.5815654636,2016.06118994048
165,166,Ukraine,Ukraine,0.309119109668949,23.8540882986695,23.5449691890005,2015.84186995693,2016.1509890666
141,149,Kaliningrad,Kaliningrad,0.340792485941253,23.8800770169172,23.5392845309759,2015.8361852989,2016.17697778484
171,185,Ukraine,Ukraine,0.55542765154517,23.8856144524596,23.3301868009145,2015.62708756884,2016.18251522039
142,143,Kaliningrad,Kaliningrad,0.189395702393629,23.9144284159786,23.725032713585,2016.02193348151,2016.21132918391
166,168,Ukraine,Ukraine,0.070304473787524,23.924392772457,23.8540882986695,2016.1509890666,2016.22129354038
112,113,Poland,Poland,0.943094286984285,23.9973029100339,23.0542086230496,2015.35110939098,2016.29420367796
158,160,Poland,Poland,0.412437948672006,24.096034043459,23.683596094787,2015.98049686271,2016.39293481139
149,150,Kaliningrad,Kaliningrad,0.336106130538058,24.2161831474552,23.8800770169172,2016.17697778484,2016.51308391538
113,114,Poland,Poland,0.234089532959514,24.2313924429934,23.9973029100339,2016.29420367796,2016.52829321092
158,159,Poland,Poland,0.569011203219705,24.2526072980067,23.683596094787,2015.98049686271,2016.54950806593
171,172,Ukraine,Ukraine,0.935664500903898,24.2658513018184,23.3301868009145,2015.62708756884,2016.56275206975
159,21,Poland,Poland,0.0543170706784473,24.3069243686852,24.2526072980067,2016.54950806593,2016.60382513661
159,20,Poland,Poland,0.0570493111158008,24.3096566091225,24.2526072980067,2016.54950806593,2016.60655737705
160,23,Poland,Poland,0.3502345875214,24.4462686309804,24.096034043459,2016.39293481139,2016.74316939891
172,173,Ukraine,Ukraine,0.217936458539162,24.4837877603575,24.2658513018184,2016.56275206975,2016.78068852828
150,151,Kaliningrad,Kaliningrad,0.314127393391916,24.5303105408471,24.2161831474552,2016.51308391538,2016.82721130877
